Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;03 SECUNDARIA;08 OCTAVO;70;4
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;03 SECUNDARIA;09 NOVENO;55;3
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;04 MEDIA;10 DÉCIMO;52;3
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;04 MEDIA;11 ONCE;36;2
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;01 PREESCOLAR;00 TRANSICIÓN;186;9
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;02 PRIMARIA;01 PRIMERO;230;12
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;02 PRIMARIA;02 SEGUNDO;215;11
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;02 PRIMARIA;03 TERCERO;202;10
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;02 PRIMARIA;04 CUARTO;208;10
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;02 PRIMARIA;05 QUINTO;224;11
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;03 SECUNDARIA;06 SEXTO;271;14
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;03 SECUNDARIA;07 SÉPTIMO;226;11
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;03 SECUNDARIA;08 OCTAVO;178;9
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;03 SECUNDARIA;09 NOVENO;184;9
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;04 MEDIA;10 DÉCIMO;188;9
2023;INSTITUCION EDUCATIVA DULCE NOMBRE DE JESUS;04 MEDIA;11 ONCE;170;9
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;01 PREESCOLAR;00 TRANSICIÓN;47;2
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;02 PRIMARIA;01 PRIMERO;55;3
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;02 PRIMARIA;02 SEGUNDO;80;4
2023;INSTITUCION EDUCATIVA JOSE IGNACIO LOPEZ;02 PRIMARIA;03 TERCERO;73;4
